Movie,Year,Rank,Production_Countries,Genres,Domestic_Original,Worldwide_Original,Domestic_Adjusted,Foreign_Original,Worldwide_Adjusted,MedianIncome,Domestic_Adjusted_to_Income_Ratio,Domestic_to_Foreign_Ratio,InflationFactor,MedianIncome_YoY_Growth,Worldwide_Corrected
The Secret Life of Pets,2016,6,United States of America,"Adventure, Comedy, Animation, Family",452402010.0,875697467.0,368623860.0,507073607.0,875697467.0,51939.0,7097.2460001155205,0.8921821285011192,1.2272727272727273,0.0,875697467.0
The Jungle Book,2016,5,"United Kingdom, United States of America","Family, Adventure, Drama, Fantasy",446728650.95454544,966550600.0,364001123.0,602549477.0,966550600.0,51939.0,7008.242804058607,0.7413974586431272,1.2272727272727273,0.0,966550600.0
Rogue One: A Star Wars Story,2016,2,United States of America,"Action, Adventure, Science Fiction",653126715.8181819,1056057273.0,532177324.0,523879949.0,1056057273.0,51939.0,10246.198887156086,1.2467106577850375,1.2272727272727273,0.0,1056057273.0
Finding Dory,2016,3,United States of America,"Adventure, Animation, Comedy, Family",596817279.4090909,1028570889.0,486295561.0,542275328.0,1028570889.0,51939.0,9362.821020812877,1.1005798135981044,1.2272727272727273,0.0,1028570889.0
Captain America: Civil War,2016,1,United States of America,"Adventure, Action, Science Fiction",500830791.95454544,1153296293.0,408084349.0,745211944.0,1153296293.0,51939.0,7856.9927992452685,0.6720649017865787,1.2272727272727273,0.0,1153296293.0
Batman v Superman: Dawn of Justice,2016,7,United States of America,"Action, Adventure, Fantasy",405442056.27272725,874360194.0,330360194.0,544000000.0,874360194.0,51939.0,6360.5420589537725,0.7452978975601604,1.2272727272727273,0.0,874360194.0
Fantastic Beasts and Where to Find Them,2016,8,"United Kingdom, United States of America","Fantasy, Adventure",287227932.95454544,816037575.0,234037575.0,582000000.0,816037575.0,51939.0,4506.0084907295095,0.4935187851452671,1.2272727272727273,0.0,816037575.0
Zootopia,2016,4,United States of America,"Animation, Adventure, Family, Comedy",418829213.45454544,1023784195.0,341268248.0,682515947.0,1023784195.0,51939.0,6570.558693852404,0.6136548388290559,1.2272727272727273,0.0,1023784195.0
The Fate of the Furious,2017,3,United States of America,"Action, Crime, Thriller",277373927.04545456,1236005118.0,226008385.0,1009996733.0,1236005118.0,53585.0,4217.754688812168,0.274628538868209,1.2272727272727273,3.169102216061148,1236005118.0
Wolf Warrior 2,2017,7,China,"War, Action, Thriller",3339531.8181818184,870325439.0,2721100.0,867604339.0,870325439.0,53585.0,50.78100214612298,0.0038491414439339477,1.2272727272727273,0.0,870325439.0
Wonder Woman,2017,10,United States of America,"Action, Adventure, Fantasy",506327818.90909094,822963408.0,412563408.0,410400000.0,822963408.0,53585.0,7699.23314360362,1.2337422488038279,1.2272727272727273,0.0,822963408.0
Thor: Ragnarok,2017,9,United States of America,"Action, Adventure, Science Fiction",386662445.5909091,853977126.0,315058289.0,538918837.0,853977126.0,53585.0,5879.598563030699,0.7174780672788195,1.2272727272727273,0.0,853977126.0
Beauty and the Beast,2017,2,United States of America,"Family, Fantasy, Romance",618562838.8636364,1263521126.0,504014165.0,759506961.0,1263521126.0,53585.0,9405.881589997201,0.8144268198005843,1.2272727272727273,0.0,1263521126.0
Despicable Me 3,2017,4,United States of America,"Action, Animation, Comedy, Family, Adventure",324766186.3636364,1034799409.0,264624300.0,770175109.0,1034799409.0,53585.0,4938.402538023701,0.4216783723188805,1.2272727272727273,0.0,1034799409.0
Star Wars: Episode VIII - The Last Jedi,2017,1,United States of America,"Adventure, Action, Science Fiction",761131696.0909091,1332539889.0,620181382.0,712358507.0,1332539889.0,53585.0,11573.787104600167,1.0684671953961926,1.2272727272727273,0.0,1332539889.0
Jumanji: Welcome to the Jungle,2017,5,United States of America,"Adventure, Comedy, Fantasy",496450816.3636364,962077546.0,404515480.0,557562066.0,962077546.0,53585.0,7549.043202388728,0.8903956108872665,1.2272727272727273,0.0,962077546.0
Guardians of the Galaxy Vol. 2,2017,8,United States of America,"Science Fiction, Adventure, Action",478406987.5909091,863756051.0,389813101.0,473942950.0,863756051.0,53585.0,7274.66830269665,1.0094189344749387,1.2272727272727273,0.0,863756051.0
Spider-Man: Homecoming,2017,6,United States of America,"Action, Adventure, Science Fiction, Drama",410155944.54545456,880166924.0,334201140.0,545965784.0,880166924.0,53585.0,6236.841280209013,0.7512484418720543,1.2272727272727273,0.0,880166924.0
Avengers: Infinity War,2018,1,United States of America,"Adventure, Action, Science Fiction",964632527.0526317,2048359754.0,678815482.0,1369544272.0,2048359754.0,53657.0,12651.01444359543,0.7043456329045431,1.4210526315789476,0.13436596062330608,2048359754.0
Bohemian Rhapsody,2018,6,"United Kingdom, United States of America","Music, Drama",307555638.631579,903655259.0,216428042.0,687227217.0,903655259.0,53657.0,4033.5471979424865,0.4475312255154455,1.4210526315789476,0.0,903655259.0
Black Panther,2018,2,United States of America,"Action, Adventure, Science Fiction",994821488.5263159,1346913161.0,700059566.0,646853595.0,1346913161.0,53657.0,13046.938255959149,1.5379391816262782,1.4210526315789476,0.0,1346913161.0
Mission: Impossible - Fallout,2018,8,United States of America,"Action, Adventure",312857674.1052632,791115104.0,220159104.0,570956000.0,791115104.0,53657.0,4103.082617365861,0.5479540877147506,1.4210526315789476,0.0,791115104.0
Fantastic Beasts: The Crimes of Grindelwald,2018,10,"United Kingdom, United States of America","Fantasy, Adventure",226737333.00000003,655755901.0,159555901.0,496200000.0,655755901.0,53657.0,2973.6269452261586,0.4569474667472794,1.4210526315789476,0.0,655755901.0
Incredibles 2,2018,4,United States of America,"Action, Adventure, Animation, Family",864826688.8421054,1242805359.0,608581744.0,634223615.0,1242805359.0,53657.0,11342.075479434185,1.3635990026043185,1.4210526315789476,0.0,1242805359.0
Venom,2018,7,"China, United States of America","Science Fiction, Action",303416771.6842106,856085151.0,213515506.0,642569645.0,856085151.0,53657.0,3979.2665635425014,0.4721928183896869,1.4210526315789476,0.0,856085151.0
Aquaman,2018,5,United States of America,"Action, Adventure, Fantasy",476140462.5789474,1151961807.0,335061807.0,816900000.0,1151961807.0,53657.0,6244.51249603966,0.5828626056787213,1.4210526315789476,0.0,1151961807.0
Jurassic World: Fallen Kingdom,2018,3,United States of America,"Action, Adventure, Science Fiction, Thriller",593601764.2105263,1308467944.0,417719760.0,890748184.0,1308467944.0,53657.0,7785.00027955346,0.666408054344713,1.4210526315789476,0.0,1308467944.0
Deadpool 2,2018,9,United States of America,"Action, Comedy, Adventure",452593079.0526316,734546611.0,318491426.0,416055185.0,734546611.0,53657.0,5935.692006634736,1.0878198262392322,1.4210526315789476,0.0,734546611.0
Avengers: Endgame,2019,1,United States of America,"Adventure, Science Fiction, Action",1103622428.5714285,2799439100.0,858373000.0,1941066100.0,2799439100.0,56516.0,15188.14141128176,0.5685650934666411,1.2857142857142858,5.328288946456183,2799439100.0
Captain Marvel,2019,5,United States of America,"Action, Adventure, Science Fiction",548781221.5714287,1128274794.0,426829839.0,701444955.0,1128274794.0,56516.0,7552.3717000495435,0.7823582130852001,1.2857142857142858,0.0,1128274794.0
Toy Story 4,2019,8,United States of America,"Family, Adventure, Animation, Comedy, Fantasy",558048867.4285715,1073394593.0,434038008.0,639356585.0,1073394593.0,56516.0,7679.913794323731,0.8728288415588485,1.2857142857142858,0.0,1073394593.0
Aladdin,2019,9,United States of America,"Adventure, Fantasy, Romance, Family",457147563.42857146,1050693953.0,355559216.0,695134737.0,1050693953.0,56516.0,6291.301861419775,0.6576387843909051,1.2857142857142858,0.0,1050693953.0
Frozen II,2019,3,United States of America,"Family, Animation, Adventure, Comedy, Fantasy",613766028.8571429,1450026933.0,477373578.0,972653355.0,1450026933.0,56516.0,8446.697890862764,0.6310223736977116,1.2857142857142858,0.0,1450026933.0
The Lion King,2019,2,United States of America,"Adventure, Drama, Family, Animation",698963198.1428572,1656943394.0,543638043.0,1113305351.0,1656943394.0,56516.0,9619.188247575908,0.6278270355163839,1.2857142857142858,0.0,1656943394.0
Joker,2019,6,"Canada, United States of America","Crime, Thriller, Drama",431294542.71428573,1078751311.0,335451311.0,743300000.0,1078751311.0,56516.0,5935.510492603865,0.580242893467356,1.2857142857142858,0.0,1078751311.0
Jumanji: The Next Level,2019,10,United States of America,"Adventure, Comedy, Fantasy",411833520.00000006,801693929.0,320314960.0,481378969.0,801693929.0,56516.0,5667.686318918536,0.8555286926130752,1.2857142857142858,0.0,801693929.0
Spider-Man: Far from Home,2019,4,United States of America,"Action, Adventure, Science Fiction",502112680.71428573,1131927996.0,390532085.0,741395911.0,1131927996.0,56516.0,6910.115454030717,0.6772531022420027,1.2857142857142858,0.0,1131927996.0
Star Wars: Episode IX - The Rise of Skywalker,2019,7,United States of America,"Adventure, Action, Science Fiction",662403268.2857144,1074144248.0,515202542.0,558941706.0,1074144248.0,56516.0,9116.047526364215,1.1851025986701276,1.2857142857142858,0.0,1074144248.0
Bad Boys for Life,2020,3,United States of America,"Thriller, Action, Crime",348140099.25,426505244.0,206305244.0,220200000.0,426505244.0,59039.0,3494.3892003590845,1.5810177077656675,1.6875,4.464222521055983,426505244.0
Tenet,2020,5,"United Kingdom, United States of America","Action, Thriller, Science Fiction",98725677.1875,365304105.0,58504105.0,306800000.0,365304105.0,59039.0,990.9399718829926,0.3217916466346154,1.6875,0.0,365304105.0
The Eight Hundred,2020,2,China,"War, History, Drama, Action",629024.0625,461421559.0,372755.0,461048804.0,461421559.0,59039.0,6.313707888006233,0.0013643329232017702,1.6875,0.0,461421559.0
The Croods: A New Age,2020,10,United States of America,"Animation, Family, Adventure, Fantasy, Comedy",98834875.3125,215905815.0,58568815.0,157337000.0,215905815.0,59039.0,992.0360270329782,0.6281731271887732,1.6875,0.0,215905815.0
"My People, My Homeland",2020,4,China,"Drama, Comedy",0.0,422390820.0,0.0,422390820.0,422390820.0,59039.0,0.0,0.0,1.6875,0.0,422390820.0
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1,Japan,"Animation, Action, Fantasy, Thriller",83539701.0,473230408.0,49505008.0,423725400.0,473230408.0,59039.0,838.5136604617287,0.19715528264295698,1.6875,0.0,473230408.0
Dolittle,2020,7,"China, United States of America","Family, Comedy, Fantasy, Adventure",130016922.1875,251410631.0,77047065.0,174363566.0,251410631.0,59039.0,1305.0198174088314,0.7456656523502163,1.6875,0.0,251410631.0
Jiang Ziya,2020,8,China,"Animation, Action, Fantasy, Adventure",362255.625,240646355.0,214670.0,240431685.0,240646355.0,59039.0,3.636071071664493,0.0015066883759517803,1.6875,0.0,240646355.0
Sonic the Hedgehog,2020,6,"Japan, United States of America","Action, Science Fiction, Comedy, Family",251394747.1875,319715683.0,148974665.0,170741018.0,319715683.0,59039.0,2523.326360541337,1.4723746533331552,1.6875,0.0,319715683.0
A Little Red Flower,2020,9,China,"Drama, Family",0.0,216000000.0,0.0,216000000.0,216000000.0,59039.0,0.0,0.0,1.6875,0.0,216000000.0
The Battle at Lake Changjin,2021,2,"China, Hong Kong","Drama, War",124933.74324324324,902548476.0,342411.0,902206065.0,902548476.0,61372.0,5.579270677181777,0.00013847584059772778,0.36486486486486486,3.951625196903752,902548476.0
Detective Chinatown 3,2021,6,China,"Action, Comedy, Mystery",0.0,686257563.0,0.0,686257563.0,686257563.0,61372.0,0.0,0.0,0.36486486486486486,0.0,686257563.0
Spider-Man: No Way Home,2021,1,United States of America,"Action, Adventure, Science Fiction",293640863.2297297,1910982770.0,804793477.0,1106189293.0,1910982770.0,61372.0,13113.365655347716,0.2654526355370624,0.36486486486486486,0.0,1910982770.0
F9: The Fast Saga,2021,5,United States of America,"Action, Adventure, Crime",63123790.74324324,726229501.0,173005945.0,553223556.0,726229501.0,61372.0,2818.971925307958,0.11410177686512546,0.36486486486486486,0.0,726229501.0
Venom: Let There Be Carnage,2021,7,United States of America,"Science Fiction, Action, Adventure",77917025.43243243,506813864.0,213550366.0,293263498.0,506813864.0,61372.0,3479.6057811379783,0.2656894770873681,0.36486486486486486,0.0,506813864.0
Sing 2,2021,10,United States of America,"Animation, Family, Music, Comedy",59396712.567567565,408402685.0,162790990.0,245611695.0,408402685.0,61372.0,2652.5286775728346,0.2418317766487771,0.36486486486486486,0.0,408402685.0
"Hi, Mom",2021,3,China,"Drama, Comedy, Fantasy",0.0,822009764.0,0.0,822009764.0,822009764.0,61372.0,0.0,0.0,0.36486486486486486,0.0,822009764.0
No Time to Die,2021,4,"United Kingdom, United States of America","Action, Thriller, Adventure",58703475.527027026,774153007.0,160891007.0,613262000.0,774153007.0,61372.0,2621.570211171218,0.09572332139775011,0.36486486486486486,0.0,774153007.0
Shang-Chi and the Legend of the Ten Rings,2021,9,United States of America,"Action, Adventure, Fantasy",81927957.8918919,432243292.0,224543292.0,207700000.0,432243292.0,61372.0,3658.7253470638075,0.39445333602258975,0.36486486486486486,0.0,432243292.0
Godzilla vs. Kong,2021,8,United States of America,"Action, Science Fiction, Adventure",36820737.0,470116094.0,100916094.0,369200000.0,470116094.0,61372.0,1644.3344521931826,0.09973114030335861,0.36486486486486486,0.0,470116094.0
Thor: Love and Thunder,2022,8,United States of America,"Fantasy, Action, Comedy",144811475.15625,760928081.0,343256830.0,417671251.0,760928081.0,61136.0,5614.643254383669,0.3467116178322984,0.421875,-0.38454018119011835,760928081.0
The Batman,2022,7,United States of America,"Crime, Mystery, Thriller",155817667.828125,772245583.0,369345583.0,402900000.0,772245583.0,61136.0,6041.376324914943,0.3867403023780715,0.421875,0.0,772245583.0
Top Gun: Maverick,2022,2,United States of America,"Action, Drama",303215408.859375,1495696292.0,718732821.0,776963471.0,1495696292.0,61136.0,11756.294507327924,0.3902569685407707,0.421875,0.0,1495696292.0
Jurassic World Dominion,2022,3,United States of America,"Adventure, Action, Science Fiction",158984049.375,1001978080.0,376851080.0,625127000.0,1001978080.0,61136.0,6164.143548809212,0.2543228006069167,0.421875,0.0,1001978080.0
Puss in Boots: The Last Wish,2022,10,United States of America,"Animation, Adventure, Fantasy, Comedy, Family",78506944.453125,481757663.0,186090535.0,295667128.0,481757663.0,61136.0,3043.8781568961003,0.26552476423123034,0.421875,0.0,481757663.0
Water Gate Bridge,2022,9,"China, Hong Kong","War, History, Action, Drama",49483.40625,626571697.0,117294.0,626454403.0,626571697.0,61136.0,1.9185749803716305,7.898963757462807e-05,0.421875,0.0,626571697.0
Minions: The Rise of Gru,2022,5,United States of America,"Animation, Comedy, Family, Adventure",156207978.984375,940203765.0,370270765.0,569933000.0,940203765.0,61136.0,6056.509503402251,0.27408130251165486,0.421875,0.0,940203765.0
Doctor Strange in the Multiverse of Madness,2022,4,United States of America,"Fantasy, Action, Adventure",173530521.703125,955775804.0,411331607.0,544444197.0,955775804.0,61136.0,6728.140653624706,0.31872967451818573,0.421875,0.0,955775804.0
Black Panther: Wakanda Forever,2022,6,United States of America,"Action, Adventure, Science Fiction",191459134.6875,859208836.0,453829060.0,405379776.0,859208836.0,61136.0,7423.270413504319,0.47229572372031703,0.421875,0.0,859208836.0
Avatar: The Way of Water,2022,1,United States of America,"Science Fiction, Adventure, Action",288594464.203125,2320250281.0,684075767.0,1636174514.0,2320250281.0,61136.0,11189.40995485475,0.17638366918305695,0.421875,0.0,2320250281.0
Guardians of the Galaxy Vol. 3,2023,4,United States of America,"Science Fiction, Adventure, Action",302902718.90625,845555777.0,358995815.0,486559962.0,845555777.0,63179.0,5682.201601798066,0.6225393426560856,0.84375,3.341729913635172,845555777.0
Fast X,2023,5,United States of America,"Action, Crime, Thriller",123293825.15625,704875015.0,146126015.0,558749000.0,704875015.0,63179.0,2312.8890137545704,0.22066048468319407,0.84375,0.0,704875015.0
Wonka,2023,8,"United Kingdom, United States of America","Comedy, Family, Fantasy",184276950.75,634402312.0,218402312.0,416000000.0,634402312.0,63179.0,3456.8814321214327,0.44297343930288463,0.84375,0.0,634402312.0
Full River Red,2023,7,"China, Hong Kong","Mystery, Comedy, Thriller, History",0.0,670491959.0,0.0,670491959.0,670491959.0,63179.0,0.0,0.0,0.84375,0.0,670491959.0
Mission: Impossible - Dead Reckoning Part One,2023,10,United States of America,"Action, Adventure",145239229.40625,570619838.0,172135383.0,398484455.0,570619838.0,63179.0,2724.56643821523,0.36447903446133173,0.84375,0.0,570619838.0
Spider-Man: Across the Spider-Verse,2023,6,United States of America,"Animation, Action, Adventure, Science Fiction",321731425.40625,690542303.0,381311319.0,309230984.0,690542303.0,63179.0,6035.412383861726,1.040424284929514,0.84375,0.0,690542303.0
The Wandering Earth II,2023,9,China,Science Fiction,4238267.625,615023132.0,5023132.0,610000000.0,615023132.0,63179.0,79.50635495971763,0.006947979713114754,0.84375,0.0,615023132.0
Barbie,2023,1,"United Kingdom, United States of America","Comedy, Adventure",536826167.71875,1446938421.0,636238421.0,810700000.0,1446938421.0,63179.0,10070.409803890534,0.6621761042540397,0.84375,0.0,1446938421.0
The Super Mario Bros. Movie,2023,2,"Japan, United States of America","Animation, Family, Adventure, Fantasy, Comedy",485100840.9375,1360847665.0,574934330.0,785913335.0,1360847665.0,63179.0,9100.085946279618,0.6172447003173702,0.84375,0.0,1360847665.0
Oppenheimer,2023,3,"United Kingdom, United States of America","Drama, History",278321518.125,975594978.0,329862540.0,645732438.0,975594978.0,63179.0,5221.0788394878045,0.4310167830301875,0.84375,0.0,975594978.0
Deadpool & Wolverine,2024,2,United States of America,"Action, Comedy, Science Fiction",636745858.0,1338073645.0,636745858.0,701327787.0,1338073645.0,,,0.9079147722404446,1.0,,1338073645.0
Venom: The Last Dance,2024,9,United States of America,"Action, Science Fiction, Adventure, Thriller",139728533.0,476857448.0,139728533.0,337128915.0,476857448.0,,,0.41446617831638677,1.0,,476857448.0
Inside Out 2,2024,1,United States of America,"Animation, Adventure, Comedy, Family",652980194.0,1698772985.0,652980194.0,1045792791.0,1698772985.0,,,0.6243877368628754,1.0,,1698772985.0
Despicable Me 4,2024,3,United States of America,"Animation, Family, Comedy, Science Fiction",361004205.0,969126452.0,361004205.0,608122247.0,969126452.0,,,0.5936375568907611,1.0,,969126452.0
Kung Fu Panda 4,2024,8,United States of America,"Animation, Family, Fantasy, Action",193590620.0,547689492.0,193590620.0,354098872.0,547689492.0,,,0.5467134614311904,1.0,,547689492.0
Wicked,2024,6,United States of America,"Drama, Romance, Fantasy",429282210.0,640176210.0,429282210.0,210894000.0,640176210.0,,,2.0355354348630117,1.0,,640176210.0
Beetlejuice Beetlejuice,2024,10,United States of America,"Comedy, Fantasy, Horror",294100435.0,451100435.0,294100435.0,157000000.0,451100435.0,,,1.873251178343949,1.0,,451100435.0
Dune: Part Two,2024,5,United States of America,"Science Fiction, Adventure",282144358.0,714444358.0,282144358.0,432300000.0,714444358.0,,,0.6526587046032848,1.0,,714444358.0
Godzilla x Kong: The New Empire,2024,7,United States of America,"Action, Adventure, Science Fiction",196350016.0,571750016.0,196350016.0,375400000.0,571750016.0,,,0.5230421310602025,1.0,,571750016.0
Moana 2,2024,4,"Canada, United States of America","Animation, Adventure, Family, Comedy",400008683.0,896608683.0,400008683.0,496600000.0,896608683.0,,,0.8054947301651229,1.0,,896608683.0
